data,tag,descrizione,luogo,url,nota,immaginenota
20200425,INFO,Italia Veneto,"magicoveneto.it: un sito con molte informazioni su percorsi sia trekking che bicicletta, specializzato sulla zona del Veneto",https://www.magicoveneto.it/,"",""
20200424,INFO,,"lifeintravel.it: un sito con molti itinerari, in Italia e nel mondo, ricercabili per destinazione",https://www.lifeintravel.it/,"",""
20200427,INFO,,"FIAB sito nazionale",http://www.fiab-onlus.it/,"",""
20171111,INFO,Italia,"Le gite FIAB: raccolta delle gite proposte dai vari gruppi locali, prevalentemente in Italia, ma vi sono anche proposte di piu' giorni all'estero",https://www.andiamoinbici.it/,"",""
20200427,INFO,,albergabici.it: sito della FIAB con strutture alberghiere per cicloturisti,https://albergabici.it,"",""
20200113,INFO,,FIAB Padova,https://www.fiab-padova.it/,"",""
20200113,INFO,,FIAB Rovigo,https://rovigoinbici.org/,"",""
20200113,INFO,,FIAB Feltre,https://feltreinbici.blogspot.com/,"",""
20210315,INFO,,FIAB Treviso,https://amicidellabicicletta.eu/,"",""
20171010,INFO,Italia,"bicitalia.org: molte informazioni su itinerari ciclabili in Italia",http://www.bicitalia.org/,"",""
20170909,INFO,,"viagginbici.com: notizie dal mondo del cicloturismo, con varie proposte di itinerari",https://www.viagginbici.com/,"",""
20210601,TREK,Italia Veneto Vicenza Asiago,"Asiago - bocchetta Portule",https://www.asiago.it/it/itinerari_escursioni_passeggiate/art_itinerario_per_bocchetta_portule/,,
20210601,TREK/FATTO,Italia Veneto Vicenza Asiago,"Asiago - giro malghe a Cima Larici - Rifugio Val Formica",https://www.asiago.it/it/itinerari_escursioni_passeggiate/art_itinerario_giro_delle_malghe_di_cima_larici/,"Giro molto facile, con possibilità di fermarsi a mangiare al Rifugio Val Formica. Da Asiago si continua sulla SP 349, del Costo, in direzione Trento lungo Val d'Assa, e dopo circa 12km si prende la laterale che percorre val Renzola verso Rifugio Val Formica; attorno tale rifugio si può percorrere un anello molto facile di circa 6km, con un dislivello di circa 150m.",
20210601,TREK,Italia Veneto Vicenza Asiago,"Asiago - alcune idee per escursioni",https://www.montagnadiviaggi.it/2018/06/escursioni-trekking-asiago.html,,
20210601,TREK,Italia Veneto Vicenza Asiago,"Asiago - giro malghe a Caltrano",https://www.asiago.it/it/itinerari_escursioni_passeggiate/art_itinerario_giro_delle_malghe_di_caltrano/,,
20210601,TREK/FATTO,Italia Veneto Vicenza Bassano,"Anello a Campo Solagna",https://www.aspassoconuma.it/2018/12/11/anello-dei-colli-alti/,,
20210601,BIKE/FATTO,Italia Veneto Vicenza Bassano,"Giro del Lago di Corlo, con partenza da Bassano",https://it.wikiloc.com/percorsi-mountain-bike/bassano-del-grappa-lago-del-corlo-50044036,,
