爱	ài	love
八	bā	8
爸爸	bàba	father
杯子	bēizi	cup
北京	Běijīng	Beijing
本	běn	[cl.book]
不客气	búkèqi	you're welcome
不	bù	not
菜	cài	vegetables
茶	chá	tea
吃	chī	to eat
出租车	chūzūchē	taxi
打电话	dǎdiànhuà	to phone
大	dà	large
的	de	of
点	diǎn	point
电脑	diànnǎo	computer
电视	diànshì	TV
电影	diànyǐng	film
东西	dōngxi	things
都	dōu	all
读	dú	to read
对不起	duìbuqǐ	sorry
多	duō	more
多少	duōshao	much
儿子	érzi	son
二	èr	2
饭馆	fànguǎn	restaurant
飞机	fēijī	aircraft
分钟	fēnzhōng	minutes
高兴	gāoxìng	pleased
个	gè	[cl.]
工作	gōngzuò	work
狗	gǒu	dog
汉语	Hànyǔ	Chinese
好	hǎo	good
喝	hē	to drink
和	hé	and
很	hěn	very
后面	hòumiàn	back
回	huí	to go back
会	huì	will
火车站	huǒchēzhàn	station
几	jǐ	few
家	jiā	home
叫	jiào	to be called
今天	jīntiān	today
九	jiǔ	9
开	kāi	to open
看	kàn	to see
看见	kànjiàn	to see
块	kuài	block
来	lái	to come
老师	lǎoshī	teacher
了	le	[past part.]
冷	lěng	cold
里	lǐ	in
零	líng	0
六	liù	6
妈妈	māma	mother
吗	ma	[question part.]
买	mǎi	to buy
猫	māo	cat
没	méi	not
没关系	méiguānxi	does not matter
米饭	mǐfàn	rice
明天	míngtiān	tomorrow
名字	míngzi	name
哪	nǎ	which
哪儿	nǎr	where
那	nà	that
那儿	nàr	there
呢	ne	[part.]
能	néng	can
你	nǐ	you
年	nián	year
女儿	nǚ'ér	daughter
朋友	péngyou	friend
漂亮	piàoliang	beautiful
苹果	píngguǒ	apple
七	qī	7
钱	qián	money
前面	qiánmiàn	front
请	qǐng	please
去	qù	to go
热	rè	heat
人	rén	people
认识	rènshi	to understand
日	rì	day
三	sān	3
商店	shāngdiàn	store
上	shàng	on
上午	shàngwǔ	morning
少	shǎo	less
谁	shéi	who
什么	what	shénme
十	shí	10
时候	shíhou	time
是	shì	to be
书	shū	book
水	shuǐ	water
水果	shuǐguǒ	fruit
睡觉	shuìjiào	to sleep
说话	shuōhuà	to speak
四	sì	4
岁	suì	years-old
他	tā	he
她	tā	her
太	tài	too
天气	tiānqì	weather
听	tīng	to listen
同学	tóngxué	classmate
喂	wèi	hello
我	wǒ	I
我们	wǒmen	we
五	wǔ	5
喜欢	xǐhuan	to like
下	xià	under
下午	xiàwǔ	afternoon
下雨	xiàyǔ	to rain
先生	xiānsheng	Mister
现在	xiànzài	now
想	xiǎng	to think
小	xiǎo	small
小姐	xiǎojiě	Miss
些	xiē	[plural]
写	xiě	to write
谢谢	xièxie	thank you
星期	xīngqī	week
学生	xuésheng	student
学习	xuéxí	to learn
学校	xuéxiào	school
一	yī	1
衣服	yīfu	clothes
医生	yīshēng	doctor
医院	yīyuàn	hospital
椅子	yǐzi	chair
有	yǒu	to have
月	yuè	month
在	zài	in
再见	zàijiàn	goodbye
怎么	zěnme	how
怎么样	zěnmeyàng	how to
这	zhè	this
这儿	zhèr	here
中国	Zhōngguó	China
中午	zhōngwǔ	noon
住	zhù	to live
桌子	zhuōzi	table
字	zì	word
昨天	zuótiān	yesterday
坐	zuò	to sit
做	zuò	to do

穿	chuān	to wear
船	chuán	ship
次	cì	times
从	cóng	from
错	cuò	wrong
打篮球	dǎlánqiú	basketball
大家	dàjiā	everyone
但是	dànshì	but
到	dào	to
得	de	[part.]
等	děng	to wait
房间	fángjiān	room
非常	fēicháng	very
服务员	fúwùyuán	attendant
高	gāo	high
告诉	gàosu	to tell
哥哥	gēge	brother
给	gěi	to give
公共汽车	gōnggòngqìchē	bus
公斤	gōngjīn	kg
公司	gōngsī	company
贵过	guìguo	more expensive
还	huán	also
孩子	háizi	children
好吃	hǎochī	delicious
号	hào	number
黑	hēi	black
红	hóng	red
欢迎	huānyíng	to welcome
回答	huídá	to answer
机场	jīchǎng	airport
鸡蛋	jīdàn	egg
件	jiàn	[cl.pieces]
教室	jiàoshì	classroom
姐姐	jiějie	sister
介绍	jièshào	to introduce
进	jin	to enter
近	jìn	nearly
就	jiù	and so
觉得	juéde	to think
咖啡	kāfēi	coffee
开始	kāishǐ	to start
考试	kǎoshì	examination
可能	kěnéng	maybe
可以	kěyǐ	can
课	kè	class
快	kuài	fast
快乐	kuàilè	happy
累	lèi	tired
离	lí	from
两	liǎng	2
路	lù	road
旅游	lǚyóu	travel
卖	mài	to sell
慢	màn	slow
忙	máng	busy
